Source_File,Text_ID,Content_Type,Author,Date,Text,Engagement
春锦赛14.txt,Post_01,Post,8,2025-03-22,DouBle_61 小红书号：xiangdb 初心易得 始终难守 8 关注 49 粉丝 762 获赞与收藏 笔记 收藏 点赞 仅自己可见 在二十一岁末尾 DouBle_61 5 仅自己可见 今夜 DouBle_61 4 仅自己可见 梦醒时分 DouBle_61 6 仅自己可见 小时候看这集看哭了 DouBle_61 4 仅自己可见 精神状态 DouBle_61 5 仅自己可见 一起吧，朋友 DouBle_61 7 仅自己可见 人生体验2 DouBle_61 21 仅自己可见 要允许一部分人先chill起来 DouBle_61 7 仅自己可见 You know what Im saying DouBle_61 6 仅自己可见 满船清梦压星河 DouBle_61 10 仅自己可见 拼好大型活动的最后一片拼图 DouBle_61 4 仅自己可见 拿完国奖准备考研 DouBle_61 17 董志豪春锦赛下班纯享版 月亮小饼干 164 王长浩0321春锦赛下班 ReallyLuvu 112 好消息，煮啵今天下班没摔 解星却 39 0321 何峻毅 决赛下班 吃个欧包（见过章昊版） 114 董志豪再次下班失败 解星却 97 王长浩20的天气 brightwinterdays 127 2025322 春锦预赛 沈加豪上下班 吃个欧包（见过章昊版） 8 董志豪 春锦赛 吃个欧包（见过章昊版） 14 春锦赛23号 有没有蹲中午下班的呀#游泳 #春锦赛 椰 蓉 2 游泳春锦赛下班红毯实时播报1 解星却 53 万万没想到今天下班是这种局面 #董志豪 #覃海洋 #春锦赛 koko丶 65 0322 春锦赛 沈加豪决赛下班 吃个欧包（见过章昊版） 5 0322 春锦赛陈俊儿决赛下班 吃个欧包（见过章昊版） 35 张雨霏春锦赛下班 x12L 86 覃海洋0318第一个接到的下班 ZHZHZH 56 0323下班快乐 薄荷奶绿全糖去冰 70 0323 春锦赛沈加豪预赛下班 吃个欧包（见过章昊版） 36 323春锦赛下班合集 月亮小饼干 115 0323 王宇天决赛下班 吃个欧包（见过章昊版） 29 张翼祥23日预赛下班 发条梨 87 邱天青岛春锦赛320下班 每天睡到自然醒 372 发现 发布 通知 我 吃个欧包（见过章昊版） 关注 16 2025322 春锦预赛 沈加豪上下班 特别好的小沈同学一枚 晚上决赛也要加油鸭 浙F人速来力挺！！！ #沈加豪 #春锦赛 #全国春季游泳锦标赛,
春锦赛14.txt,Comment_01_001,Comment,Kuzzzii,2025-03-22山东,浙A也力挺,
春锦赛14.txt,Comment_01_004,Comment,,2025-03-22山东,老师我今天在外面好像听到你的名字惹,
春锦赛14.txt,Comment_01_007,Comment,,2025-03-27浙江,你好 图一可以要原图吗,
春锦赛14.txt,Comment_01_010,Comment,,2025-03-27辽宁,视频里截的 画质不咋好,
春锦赛14.txt,Post_02,Post,8,编辑于 2025-03-22,说点什么 8 收藏 8 DouBle_61 小红书号：xiangdb 初心易得 始终难守 8 关注 49 粉丝 762 获赞与收藏 笔记 收藏 点赞 仅自己可见 在二十一岁末尾 DouBle_61 5 仅自己可见 今夜 DouBle_61 4 仅自己可见 梦醒时分 DouBle_61 6 仅自己可见 小时候看这集看哭了 DouBle_61 4 仅自己可见 精神状态 DouBle_61 5 仅自己可见 一起吧，朋友 DouBle_61 7 仅自己可见 人生体验2 DouBle_61 21 仅自己可见 要允许一部分人先chill起来 DouBle_61 7 仅自己可见 You know what Im saying DouBle_61 6 仅自己可见 满船清梦压星河 DouBle_61 10 仅自己可见 拼好大型活动的最后一片拼图 DouBle_61 4 仅自己可见 拿完国奖准备考研 DouBle_61 17 董志豪春锦赛下班纯享版 月亮小饼干 164 王长浩0321春锦赛下班 ReallyLuvu 112 好消息，煮啵今天下班没摔 解星却 39 0321 何峻毅 决赛下班 吃个欧包（见过章昊版） 114 董志豪再次下班失败 解星却 97 王长浩20的天气 brightwinterdays 127 2025322 春锦预赛 沈加豪上下班 吃个欧包（见过章昊版） 8 董志豪 春锦赛 吃个欧包（见过章昊版） 14 春锦赛23号 有没有蹲中午下班的呀#游泳 #春锦赛 椰 蓉 2 游泳春锦赛下班红毯实时播报1 解星却 53 万万没想到今天下班是这种局面 #董志豪 #覃海洋 #春锦赛 koko丶 65 0322 春锦赛 沈加豪决赛下班 吃个欧包（见过章昊版） 5 0322 春锦赛陈俊儿决赛下班 吃个欧包（见过章昊版） 35 张雨霏春锦赛下班 x12L 86 覃海洋0318第一个接到的下班 ZHZHZH 56 0323下班快乐 薄荷奶绿全糖去冰 70 0323 春锦赛沈加豪预赛下班 吃个欧包（见过章昊版） 36 323春锦赛下班合集 月亮小饼干 115 0323 王宇天决赛下班 吃个欧包（见过章昊版） 29 张翼祥23日预赛下班 发条梨 87 邱天青岛春锦赛320下班 每天睡到自然醒 372 发现 发布 通知 我 brightwinterdays 关注 15 王长浩20的天气 250322 青岛春锦赛 小组第一下班咯！决赛继续加油！ @王长浩_ #王长浩 #青岛春锦赛 #中国游泳队 #阳光帅气的大男孩 #型男 #彭于晏改名台湾王长浩,
春锦赛14.txt,Comment_02_001,Comment,ėċöïřãÿ,2025-03-22山东,比几天呀,
春锦赛14.txt,Comment_02_004,Comment,,2025-03-22新加坡,赛程6天，明天就结束了,
春锦赛14.txt,Comment_02_006,Comment,Zkk,2025-03-22北京,这高挺的鼻子，和上翘的单眼皮完美,
春锦赛14.txt,Comment_02_008,Comment,,2025-03-23广东,完全是人生照片这组,
春锦赛14.txt,Comment_02_010,Comment,,2025-03-22广东,完美的大芒孩,
春锦赛14.txt,Comment_02_012,Comment,,2025-03-24山东,宝 在哪里蹲运动员签名呀,
春锦赛14.txt,Post_03,Post,8,2025-03-22,说点什么 127 10 6 DouBle_61 小红书号：xiangdb 初心易得 始终难守 8 关注 49 粉丝 762 获赞与收藏 笔记 收藏 点赞 仅自己可见 梦醒时分 DouBle_61 6 仅自己可见 小时候看这集看哭了 DouBle_61 4 仅自己可见 精神状态 DouBle_61 5 仅自己可见 一起吧，朋友 DouBle_61 7 仅自己可见 人生体验2 DouBle_61 21 仅自己可见 要允许一部分人先chill起来 DouBle_61 7 仅自己可见 You know what Im saying DouBle_61 6 仅自己可见 满船清梦压星河 DouBle_61 10 仅自己可见 拼好大型活动的最后一片拼图 DouBle_61 4 仅自己可见 拿完国奖准备考研 DouBle_61 17 0321 何峻毅 决赛下班 吃个欧包（见过章昊版） 114 董志豪再次下班失败 解星却 97 王长浩20的天气 brightwinterdays 127 2025322 春锦预赛 沈加豪上下班 吃个欧包（见过章昊版） 8 董志豪 春锦赛 吃个欧包（见过章昊版） 14 春锦赛23号 有没有蹲中午下班的呀#游泳 #春锦赛 椰 蓉 2 游泳春锦赛下班红毯实时播报1 解星却 53 万万没想到今天下班是这种局面 #董志豪 #覃海洋 #春锦赛 koko丶 65 0322 春锦赛 沈加豪决赛下班 吃个欧包（见过章昊版） 5 0322 春锦赛陈俊儿决赛下班 吃个欧包（见过章昊版） 35 张雨霏春锦赛下班 x12L 86 覃海洋0318第一个接到的下班 ZHZHZH 56 0323下班快乐 薄荷奶绿全糖去冰 70 0323 春锦赛沈加豪预赛下班 吃个欧包（见过章昊版） 36 323春锦赛下班合集 月亮小饼干 115 0323 王宇天决赛下班 吃个欧包（见过章昊版） 29 张翼祥23日预赛下班 发条梨 87 邱天青岛春锦赛320下班 每天睡到自然醒 372 0322 春锦赛 马福晶决赛下班 吃个欧包（见过章昊版） 3 0322 吴卿风预赛下班 吃个欧包（见过章昊版） 25 0322 郑英昊预赛下班 吃个欧包（见过章昊版） 34 发现 发布 通知 我 吃个欧包（见过章昊版） 关注 董志豪 春锦赛 全网寻找 董志豪322预赛下班被说土味情话视频 我是本人但没录上 跪求大家 万分感谢 #董志豪 #春锦赛 #全国春季游泳锦标赛,
春锦赛14.txt,Comment_03_001,Comment,,刚刚刷到一个说青岛这么热是因为你来了，是这个土味情话吗🤣,mmmo,
春锦赛14.txt,Comment_03_003,Comment,,2025-03-22山东,是我说的 那个姐妹已经发给我了哈哈,
春锦赛14.txt,Comment_03_006,Comment,,2025-03-22山东,哈哈哈哈哈哈哈哈哈我喊了一句董志豪我们喜欢你,
